url,original_bedrijf,original_solliciteren,company_name,location,contact_person,email_addresses,phone_numbers,address
https://www.jobontop.be/vacatures/vacature-flexi-medewerker-bar-zaal-4935944-13.html,Ciconiais een gezellige brasserie inSchoten. Om het team van deze leuke vernieuwde zaak tijdens enkele dagen van de week te versterken zijn we op zoek naar eenFlexi medewerker bar en zaal.,CiconiaHorstebaan 12900 SchotenM:Info@brasserie-ciconia.beOf solliciteer via de button onderaan deze advertentie,Ciconia,Schoten,,info@brasserie-ciconia.beof,,CiconiaHorstebaan 12900 SchotenM
https://www.jobontop.be/vacatures/vacature-dienster-kelner-zaalhulp-32-of-38-u-week-4935933-13.html,"Eetcafe de Bibliotheekis méér dan een begrip inWijnegem - Shop Eat Enjoy, de eerste dag leek nog gisteren maar dateert al van meer dan 15 jaar geleden.Dankzij onze talrijke gasten kunnen we zeggen dat we steeds de klanten tevreden stellen zowel op de kwaliteit als de kwantiteit. Ons personeel staat dan ook steeds garant voor een beleefde en vriendelijke bediening, ons keukenteam garandeert verse en lekkere gerechten.",Eetcafé De BibliotheekTurnhoutsebaan 5Wijnegem - Shop Eat EnjoyGelieve uitsluitend per mail te solliciterenMail:lindsy.vl@live.beOf solliciteer via de button onderaan deze advertentie,Eetcafe de Bibliotheek,Wijnegem,,lindsy.vl@live.beof,,De BibliotheekTurnhoutsebaan 5W
https://www.jobontop.be/vacatures/vacature-keukenhulp-vast-of-flexi-4935831-13.html,"Eetcafé ´t Klokskebevindt zich in hartjeAntwerpenop het bekendste plein van de stad, de Groenplaats en is gekend om zijn Vlaamse toppers/streekgerechten.Wij bieden een uitgebreide drankenkaart en een hoop gezelligheid. ‘s Morgens gaat onze zaak om 09:00 uur open, tijd voor koffie! Wij serveren een ruim aanbod aan warme dranken, zodat gasten rustig kan genieten van de ochtend.In de zomer biedt ons grote terras op de Groenplaats plaats aan wel 90 gasten. In de koude winter is het terras voorzien van een zeil en warmtelampen.In dit Eetcafé in Antwerpen vindt men veel speciale bieren zoals Omer, Tripel Karmeliet en vier verschillende tapbieren (waaronder heerlijke verse De Koninck). Ja, echt vers, want onze kranen lopen flink door! Dit alles biedt gasten een perfect kader voor een dagje of avondje uit.",Cv & motivatiebrief sturen naarMarc.volckaerts@gmail.comEetcafé 't KlokskeGroenplaats 242000 AntwerpenOf via de button onderaan de pagina.,Eetcafé,Antwerpen,,,,t KlokskeGroenplaats 242000 AntwerpenOf via de bu
https://www.jobontop.be/vacatures/vacature-phone-operator-student-extra-flexi-4935745-13.html,"Nestled within the walls of a 15th-century monastery in the heart of Antwerp,Botanic Sanctuary Antwerprepresents a distinctive blend of historical heritage and contemporary sophistication. As a five-star superior hotel and proud member of The Leading Hotels of the World, we provide our guests with more than a place to stay — we craft meaningful and unforgettable experiences.Featuring 108 luxurious rooms and suites, five Michelin-starred restaurants, the award-winning Botanic Health Spa, and exclusive event venues, we are dedicated to delivering unparalleled quality and service. Our vision? To be the destination for remarkable experiences, where every guest feels genuinely seen, valued, and warmly welcomed.At Botanic, we are driven by passion, excellence, and personal attention to detail. Are you ready to become part of a team that elevates hospitality to an art form? We are currently looking for an outstanding individual to join us as:Phone Operator (Student / Extra / Flexi)",Interested?Please send your recent CV with a cover letter to:jobs@botanicantwerp.comOf gebruik de sollicitatie button onderaan deze pagina.,Botanic Sanctuary Antwerp,,,jobs@botanicantwerp.comof,,
https://www.jobontop.be/vacatures/vacature-flexi-uitbater-b-b-4935743-13.html,La Tannerieis een authentieke gerenoveerde kasteelhoeve dicht bijDurbuyen die plaats biedt voor groepen tot 32 personen. Tijdens de zomermaanden in de vakantie bieden we kamers aan per nacht met of zonder ontbijt. La Tannerie bestaat intussen 3 jaar en wordt met succes uitgebaat.,Adres van de werkplek:Rue Du Canal 12Bomal-Sur-OurtheContactpersoon bij de sollicitatie:Tom Van CauwenbergheTelefoonnummer:0476415652Mailadres voor sollicitatie:Tom@latanneriededurbuy.beOf via de button onderaan deze advertentie,La Tannerie,Durbuy,Tom Van Cauwenberghe,tom@latanneriededurbuy.beof,0476415652,Rue Du Canal 12Bomal-Sur-Ourthe
https://www.jobontop.be/vacatures/vacature-barmedewerker-verso-cafe-vast-–-flexi-–-student-4934414-13.html,"Verso Caféis dé hotspot in het hart van Antwerpen waar stijl, sfeer en smaak samenkomen. Hier geniet je van verfijnde dranken in een elegant decor, omringd door mode, design en mensen met gevoel voor beleving. Gasten komen niet alleen voor een drankje, maar voor een totaalervaring — en jij kan daar een sleutelrol in spelen.Om ons team te versterken, zijn we op zoek naar een barmedewerker met passie voor hospitality, productkennis en oog voor detail.",Solliciteren via:DEZE LINKVerso CaféLange Gasthuisstraat 92000 Antwerpen>>>SOLLICITATIES<<<,Verso Café,Antwerpen,,,,Lange Gasthuisstraat 92000 Antwerpen
https://www.jobontop.be/vacatures/vacature-zaalmedewerker-m-v-vast-flexi-student-4935150-13.html,"Clash Lunch & DineteBrussegemstaat voor pure Franse brasseriekeuken. Geen tralala. Geen overbodige extraatjes.Alleen verse, eerlijke ingrediënten. En een clash mostaad, af en toe.",Resto ClashDrappier FrederiqueNieuwelaan 1281785 BrussegemM:info@restoclash.beT:0475/21.83.80Of solliciteer via de button onderaan deze advertentie,Clash Lunch & Dine te Brussegem staat,Brussegem,,info@restoclash.bet,0475/21.83,Resto ClashDrappier FrederiqueNieuwelaan 1281785 BrussegemM
https://www.jobontop.be/vacatures/vacature-hulp-kok-vast-flexi-student-4935149-13.html,"Clash Lunch & DineteBrussegemstaat voor pure Franse brasseriekeuken. Geen tralala. Geen overbodige extraatjes.Alleen verse, eerlijke ingrediënten. En een clash mostaad, af en toe.",Resto ClashFrederique DrappierNieuwelaan 1281785 BrussegemM:info@restoclash.beT:0475/21.83.80Of solliciteer via de button onderaan deze advertentie,Clash Lunch & Dine te Brussegem staat,Brussegem,,info@restoclash.bet,0475/21.83,Resto ClashFrederique DrappierNieuwelaan 1281785 BrussegemM
https://www.jobontop.be/vacatures/vacature-poets-afwashulp-vast-of-flexi-4935060-13.html,"Word jij onze nieuwe poetshulp & afwasser?BijNOMADdraait alles om puurheid, beleving en kwaliteit. Gelegen in het hart vanAntwerpen, combineren wij een wereldse keuken met een stijlvolle, ontspannen sfeer.Ons restaurant is een plek waar gastvrijheid en duurzaamheid centraal staan, en waar onze gasten genieten van een unieke culinaire reis.Jouw rol in ons teamWe zoeken een gemotiveerde poetshulp en afwasser die mee zorgt voor een nette keuken en een propere werkplek.Dankzij jou kunnen onze chefs en zaalmedewerkers elke dag opnieuw topprestaties leveren.",Solliciteren viaJobs@omengroup.beof via de button onderaan deze advertentieAdres:Jan Van Rijswijcklaan 1552018 Antwerpen,,Antwerpen,,viajobs@omengroup.beof,,Jan Van Rijswijcklaan 1552018 Antwerpen
https://www.jobontop.be/vacatures/vacature-zaalmedewerker-verantwoordelijke-vast-flexi-student-4934451-13.html,Wij zijn op zoek naar een nieuwe collega om ons team te versterken. BijBistro VolDaanhechten we veel belang aan mensen die met liefde voor hun job en de zaak hun taak uitvoeren. We zoeken iemand die meedenkt in functie van de zaak en zijn of haar collega’s. Iemand die verantwoordelijkheid wil opnemen om zo een bloeiende zaak mee te laten groeien. Voltijdse job met onmiddellijke start!,Bistro VolDaantav Daan DriesenKesselsesteenweg 150 - 2500 Liertel:0477/73.85.35mail:Info@bistrovoldaan.beOf solliciteer via de button onderaan deze advertentie,Bistro VolDaan,Lier,,info@bistrovoldaan.beof,0477/73.85,2500 Liertel
